Name,Q code,founding,Rank,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
University of Groningen,Q850730,1614,73,Netherlands,65.1,42.3,55.6,91.6,79.8,82.5,6,53016,28487
Humboldt University of Berlin,Q152087,1809,74,Germany,65.0,61.8,66.8,67.9,40.2,67.8,9,212886,40163
Monash University,Q598841,1958,75,Australia,64.7,47.3,56.6,83.8,67.2,89.9,12,345036,276886
Utrecht University,Q221653,1636,75,Netherlands,64.7,44.1,61.2,88.4,65.3,65.5,4,561108,34882
University of Warwick,Q865528,1965,77,United Kingdom,64.6,46.9,52.7,88.8,42.8,93.8,13,558700,332385
University of Minnesota,Q238101,1851,79,United States,64.1,55.2,59.3,82.7,78.2,40.2,15,456827,285094
University of Science and Technology of China,Q1074103,1958,80,China,64.0,64.6,59.5,74.7,79.6,31.3,1,145921,145921
Sorbonne University,Q41497113,2018,80,France,64.0,62.3,50.6,79.9,38.4,69.2,55,374507,293721
Michigan State University,Q270222,1855,84,United States,63.9,56.6,57.4,80.0,37.8,63.3,9,250848,209069
University of Freiburg,Q153987,1457,86,Germany,63.3,49.1,51.6,83.1,100.0,75.7,10,47004,36608
University of Bristol,Q459506,1909,87,United Kingdom,63.2,41.8,48.4,95.5,40.9,86.6,8,195187,109551
University of Zurich,Q206702,1833,90,Switzerland,62.8,47.0,46.7,88.2,53.0,92.2,9,120500,59490
University of Tübingen,Q153978,1477,91,Germany,62.7,51.2,56.2,80.1,67.0,64.0,11,104824,47583
École Polytechnique,Q273626,1794,93,France,62.5,59.6,49.1,70.2,69.6,95.2,12,356481,221972
University of Basel,Q372608,1460,94,Switzerland,62.4,43.0,41.2,91.4,99.4,96.1,4,252361,249161
Dartmouth College,Q49116,1769,94,United States,62.4,58.4,39.9,96.4,41.0,39.6,5,575660,471306
"University of California, Irvine",Q868421,1965,96,United States,62.3,43.3,46.5,94.9,58.9,71.9,2,573614,573614
University of Helsinki,Q28695,1640,96,Finland,62.3,43.4,59.3,88.1,38.1,55.1,25,105872,56251
Lund University,Q218506,1666,96,Sweden,62.3,40.7,54.3,86.3,81.0,77.7,12,619793,367751
University of Glasgow,Q192775,1451,99,United Kingdom,62.2,41.1,47.9,91.8,40.0,92.3,5,596670,542847
RWTH Aachen University,Q273263,1870,99,Germany,62.2,55.6,61.5,67.3,98.1,59.0,3,225868,131138
University of Copenhagen,Q186285,1479,101,Denmark,62.1,48.1,44.1,89.6,48.1,85.4,14,107112,83449
Georgetown University,Q333886,1789,102,United States,61.9,57.3,37.9,93.9,62.5,47.2,33,732810,552092
Uppsala University,Q185246,1477,102,Sweden,61.9,41.6,56.4,85.0,74.6,68.1,10,116313,23178
University of Arizona,Q503419,1885,104,United States,61.8,52.6,53.7,85.3,52.7,40.2,6,878411,785617
University of Bonn,Q152171,1818,105,Germany,61.6,47.6,47.0,88.0,93.3,60.3,8,184197,43586
Rice University,Q842909,1891,105,United States,61.6,49.1,39.7,93.7,45.4,77.0,2,640504,640504
Zhejiang University,Q197543,1897,107,China,61.5,66.0,64.7,50.6,100.0,61.8,1,131138,131138
Fudan University,Q495015,1905,109,China,61.4,61.9,58.6,68.1,58.6,44.8,3,192799,215895
Queen Mary University of London,Q195668,1882,110,United Kingdom,61.3,35.3,43.1,98.0,44.1,96.7,2,1722,1722
University of Birmingham,Q223429,1900,112,United Kingdom,60.9,39.6,45.6,92.1,39.3,89.2,17,689387,727450
University of Bern,Q659080,1834,113,Switzerland,60.4,44.5,41.2,86.6,85.0,87.3,4,187049,75838
Aarhus University,Q924265,1928,115,Denmark,60.3,37.2,54.0,85.4,66.7,74.8,7,150449,61606
Vanderbilt University,Q29052,1873,116,United States,60.2,48.7,42.1,95.4,47.5,43.0,4,245485,217103
University of Sheffield,Q823917,1905,117,United Kingdom,60.1,45.2,46.4,83.0,45.8,87.3,2,1002361,1002361
Case Western Reserve University,Q1047060,1967,119,United States,60.0,48.4,39.9,95.3,42.1,52.2,1,103564,103564
University of Adelaide,Q15574,1874,120,Australia,59.9,34.3,41.6,95.3,64.8,91.7,10,504388,565957
National Taiwan University,Q32746,1928,120,Taiwan,59.9,57.0,62.7,64.0,65.4,41.9,68,328627,300697
University of Southampton,Q76473,1862,122,United Kingdom,59.8,40.2,44.3,88.0,40.1,94.2,7,822890,1091854
Ghent University,Q1137665,1817,123,Belgium,59.7,43.3,55.5,78.4,80.9,59.5,15,106023,40788
University of Colorado Boulder,Q736674,1876,124,United States,59.6,44.8,45.6,93.1,41.7,47.3,3,621331,343580
University of Göttingen,Q152838,1734,125,Germany,59.5,49.6,48.6,82.0,37.0,60.9,9,234981,72890
City University of Hong Kong,Q787360,1984,126,Hong Kong,59.3,41.0,48.9,77.6,62.4,99.6,2,591495,591495
Maastricht University,Q1137652,1976,127,Netherlands,59.0,40.2,48.3,77.0,82.9,97.6,2,500406,500406
Radboud University Nijmegen,Q632004,1923,128,Netherlands,58.9,36.0,49.9,88.2,46.2,73.0,2,23959,23959
University of York,Q967165,1963,128,United Kingdom,58.9,40.3,46.6,85.1,36.4,85.4,6,302626,266472
University of Paris,Q209842,1150,130,France,58.8,52.0,36.1,88.3,35.6,66.6,123,360342,231242
University of Oslo,Q486156,1811,131,Norway,58.7,39.6,43.8,90.0,40.7,75.5,23,114016,73626
University of Western Australia,Q1517021,1911,131,Australia,58.7,32.5,43.9,91.0,57.0,94.3,4,304916,277652
Indiana University,Q6608367,1820,134,United States,58.4,50.8,49.7,76.7,49.8,53.5,18,586948,368725
University of Vienna,Q165980,1365,134,Austria,58.4,48.1,55.3,64.6,37.1,94.2,44,96097,92087
University of Alberta,Q640694,1908,136,Canada,58.2,47.9,48.8,70.3,60.5,87.5,3,563676,390585
University of Cape Town,Q951305,1829,136,South Africa,58.2,33.2,42.8,90.3,85.3,81.8,19,659414,379728
Tufts University,Q49120,1852,139,United States,58.0,49.1,34.2,94.4,38.6,49.6,10,154491,127111
University of Ottawa,Q627969,1848,141,Canada,57.9,41.3,42.0,86.2,46.5,77.7,6,745768,684107
University of Geneva,Q503473,1559,144,Switzerland,57.6,38.1,43.7,80.4,63.3,98.4,24,177209,65339
University of Exeter,Q1414861,1955,146,United Kingdom,57.4,33.9,38.9,92.4,37.8,91.9,9,565605,482214
University of Sussex,Q1161297,1961,146,United Kingdom,57.4,35.3,37.9,91.8,35.9,93.6,16,462413,277459
University of Hamburg,Q156725,1919,149,Germany,57.3,44.4,49.8,74.0,98.5,58.1,10,280831,174152
Technical University of Berlin,Q51985,1946,149,Germany,57.3,50.4,53.9,62.3,92.7,66.2,3,461106,256257
University of Nottingham,Q472316,1881,152,United Kingdom,57.2,42.7,42.6,80.3,39.4,87.5,6,1085877,998028
University of Leeds,Q503424,1904,155,United Kingdom,57.1,41.1,45.9,78.0,39.9,87.5,21,667793,509080
Autonomous University of Barcelona,Q43452,1968,157,Spain,56.9,40.9,36.1,92.9,44.8,64.3,4,530641,498686
University of Cologne,Q54096,1919,157,Germany,56.9,43.6,42.9,81.5,70.6,62.9,4,326229,207015
University of Mannheim,Q317070,1967,157,Germany,56.9,41.9,50.0,78.2,58.6,58.5,2,977511,977511
University of Notre Dame,Q178848,1842,157,United States,56.9,52.9,46.2,73.5,38.1,55.3,6,131396,121664
TU Dresden,Q158158,1828,157,Germany,56.9,46.5,48.5,73.0,94.1,55.8,1,306831,306831
University of Würzburg,Q161976,1402,163,Germany,56.8,38.7,42.4,87.5,65.6,61.5,3,46108,17296
Trinity College Dublin,Q258464,1592,164,Ireland,56.4,41.7,43.9,75.4,41.2,94.4,8,85605,44760
University of Liverpool,Q499510,1903,165,United Kingdom,56.3,35.2,37.5,88.8,38.8,92.2,6,615603,227689
Bielefeld University,Q24382,1969,166,Germany,56.1,36.1,42.7,91.1,59.4,48.6,1,125427,125427
University of Leicester,Q1333399,1921,166,United Kingdom,56.1,30.1,34.8,96.2,38.1,90.7,3,1340459,1185951
University of Aberdeen,Q270532,1495,168,United Kingdom,56.0,30.4,33.3,95.2,45.8,95.7,5,866005,732968
University of Bologna,Q131262,1088,168,Italy,56.0,51.5,34.8,83.8,45.1,50.7,13,690993,540709
Hong Kong Polytechnic University,Q1187271,1972,171,Hong Kong,55.9,41.0,46.6,71.8,42.3,94.1,3,17337,20500
Northeastern University,Q37548,1898,173,United States,55.6,38.0,27.9,97.5,38.0,75.0,2,366357,366357
University of Rochester,Q149990,1850,173,United States,55.6,43.4,30.3,91.4,40.9,67.2,5,540404,408961
University of Florida,Q501758,1853,175,United States,55.4,54.0,53.8,61.9,57.9,40.0,5,1031579,776663
Stockholm University,Q221645,1878,175,Sweden,55.4,30.0,46.4,85.0,36.6,81.3,14,550371,78045
Texas A&M University,Q49212,1876,178,United States,55.3,49.3,54.8,62.8,45.3,54.3,6,697861,641830
University of Auckland,Q492467,1883,179,New Zealand,55.2,31.4,43.9,80.2,62.4,94.0,37,460775,248814
Korea University,Q39997,1905,179,South Korea,55.2,48.4,50.2,64.5,93.9,52.0,16,295570,181282
Aalto University,Q300980,2010,184,Finland,54.8,41.8,39.4,76.7,48.3,82.3,4,56297,51924
Technical University of Denmark,Q1269766,1829,184,Denmark,54.8,39.4,40.2,73.8,71.6,92.8,3,59981,66607
University of Gothenburg,Q371522,1954,186,Sweden,54.7,27.5,41.5,93.5,40.1,65.7,3,111797,44275
Télécom Paris,Q2311820,1878,188,France,54.6,42.6,38.3,74.4,76.6,81.7,4,332777,377225
University of Münster,Q168426,1902,189,Germany,54.3,41.0,42.5,81.3,47.5,48.7,3,254168,285160
Tel Aviv University,Q319239,1956,189,Israel,54.3,41.3,51.3,71.2,41.8,54.7,37,108280,74896
University of East Anglia,Q1045828,1963,192,United Kingdom,54.2,28.3,30.1,97.2,35.7,87.7,17,985848,576811
University of Canberra,Q1640648,1990,193,Australia,54.1,25.2,31.1,99.2,38.6,86.9,1,796529,796529
University of Duisburg-Essen,Q696757,2003,194,Germany,54.0,34.4,32.8,91.8,71.6,60.0,1,14166,14166
University of Technology Sydney,Q1145731,1870,194,Australia,54.0,33.5,42.9,75.3,50.3,96.1,1,1170821,1170821
University of the Witwatersrand,Q534643,1896,194,South Africa,54.0,31.2,43.2,78.8,100.0,73.7,14,259034,100894
University of Antwerp,Q175241,2003,198,Belgium,53.8,35.6,44.5,75.8,72.2,69.6,1,46150,46150
Cardiff University,Q1035745,1883,198,United Kingdom,53.8,32.5,35.5,87.1,37.8,85.1,8,784244,501631
George Washington University,Q432637,1821,198,United States,53.8,48.6,32.4,81.5,35.0,55.5,25,677997,505359
University of Lausanne,Q658975,1537,198,Switzerland,53.8,33.1,44.2,73.3,67.8,92.7,9,85559,74355
University of Barcelona,Q219615,1450,201,Spain,50.1–53.7,37.3,32.5,87.6,41.2,54.7,17,494186,170003
University of Bergen,Q204457,1946,201,Norway,50.1–53.7,29.5,29.4,94.1,37.1,78.3,6,55763,48926
Brandeis University,Q49119,1948,201,United States,50.1–53.7,28.5,22.9,100.0,35.6,53.4,14,437388,106061
University of Calgary,Q1067471,1966,201,Canada,50.1–53.7,33.9,34.2,84.7,48.1,77.2,4,181042,108247
University of Dundee,Q1249005,1881,201,United Kingdom,50.1–53.7,24.8,31.2,90.5,46.5,80.4,2,1005222,1005222
Griffith University,Q1202292,1971,201,Australia,50.1–53.7,25.5,32.7,86.0,42.0,81.8,2,535618,535618
Hebrew University of Jerusalem,Q174158,1918,201,Israel,50.1–53.7,48.2,45.1,62.3,41.4,60.3,58,112670,94413
Howard University,Q1068752,1867,201,United States,50.1–53.7,42.8,15.3,99.0,34.4,34.0,11,1068135,814640
University of Iowa,Q182973,1847,201,United States,50.1–53.7,43.1,29.5,82.3,54.0,46.5,11,147972,112132
King Abdulaziz University,Q1795928,1967,201,Saudi Arabia,50.1–53.7,29.5,16.5,96.4,78.9,93.1,3,353406,286683
University of Konstanz,Q835440,1966,201,Germany,50.1–53.7,38.8,44.2,66.4,72.1,65.6,3,80710,60357
University of Luxembourg,Q59668,2003,201,Luxembourg,50.1–53.7,37.9,36.5,75.8,45.2,99.7,1,895476,895476
Macquarie University,Q741082,1964,201,Australia,50.1–53.7,37.8,42.6,71.8,53.1,83.9,3,351927,245034
University of Massachusetts,Q1061122,1863,201,United States,50.1–53.7,38.5,31.1,87.0,49.9,61.7,12,799592,556528
University of Miami,Q738258,1925,201,United States,50.1–53.7,44.0,25.2,83.2,41.3,59.1,14,733642,223938
Moscow Institute of Physics and Technology,Q1367256,1946,201,Russian Federation,50.1–53.7,53.3,45.6,47.2,99.9,58.7,1,105661,105661
Newcastle University,Q837164,1963,201,United Kingdom,50.1–53.7,31.5,36.2,85.5,41.7,87.8,8,361319,349147
University of Otago,Q1201513,1869,201,New Zealand,50.1–53.7,30.2,32.1,84.7,37.0,89.8,15,389093,210446
University of Padua,Q193510,1222,201,Italy,50.1–53.7,42.5,30.9,80.2,38.4,45.1,3,582642,748840
University of Reading,Q1432632,1892,201,United Kingdom,50.1–53.7,32.1,35.2,76.9,40.3,91.9,11,688287,628227
University College Dublin,Q1068258,1854,201,Ireland,50.1–53.7,30.8,36.5,73.6,43.9,92.5,11,137075,27152
University of Utah,Q168515,1850,201,United States,50.1–53.7,39.0,34.7,86.4,48.3,33.0,2,713566,713566
Vrije Universiteit Brussel,Q612665,1970,201,Belgium,50.1–53.7,37.4,42.3,62.7,87.0,75.4,3,32284,31159
William & Mary,Q875637,1693,201,United States,50.1–53.7,47.5,21.1,87.4,35.3,37.3,2,412819,412819
University of Wollongong,Q1350021,1951,201,Australia,50.1–53.7,29.9,35.0,75.5,55.7,93.4,1,402180,402180
Auckland University of Technology,Q758659,2000,251,New Zealand,46.9–50.0,19.7,18.4,98.0,36.7,95.8,1,183269,183269
Autonomous University of Madrid,Q788091,1968,251,Spain,46.9–50.0,40.1,28.7,74.5,38.6,51.5,1,245234,245234
University of Bath,Q1422458,1966,251,United Kingdom,46.9–50.0,28.6,31.1,75.7,37.5,90.3,5,571955,246620
University at Buffalo,Q681025,1846,251,United States,46.9–50.0,37.2,32.7,73.8,42.1,64.7,9,383313,411289
Chalmers University of Technology,Q836805,1829,251,Sweden,46.9–50.0,36.1,42.1,60.0,74.1,82.9,1,47263,47263
