wikidata_code_B,education
Q77174,"['University of Tübingen', 'Goethe University Frankfurt']"
Q160902,"['University of Göttingen', 'Ratsgymnasium Goslar']"
Q57954,"['University of Bonn', '']"
Q497712,"['Kunstakademie Düsseldorf', 'University of Duisburg-Essen']"
Q164624,"[""St. John's University""]"
Q1670311,"['University of Marburg', 'University of Giessen']"
Q59485,['Hochschule für bildende Künste Hamburg']
Q72245,['University of Würzburg']
Q110719,"['University of Bonn', 'Saarland University']"
Q65896,['University of Jena']
Q65116,['Ernst Busch Academy of Dramatic Arts']
Q60735,['University of Bonn']
Q61629,"['Ludwig Maximilian University of Munich', 'Pantheon-Sorbonne University']"
Q697129,"['University of Tübingen', 'State University of Music and Performing Arts Stuttgart']"
Q71024,"['University of Würzburg', 'Technical University of Munich', 'Technische Universitat Braunschweig']"
Q614851,['University of Montana']
Q75791,['Ludwig Maximilian University of Munich']
Q97270,"['University of Göttingen', 'RWTH Aachen University', 'Harvard University']"
Q65774,"['State University of Music and Performing Arts Stuttgart', 'Hölderlin-Gymnasium Nürtingen']"
Q60813,['High School of Music Hanns Eisler']
Q67268,['Deutsche Film- und Fernsehakademie Berlin']
Q62331,['Hochschule für Grafik und Buchkunst Leipzig']
Q164721,['Französisches Gymnasium Berlin']
Q65123,"['', 'University of Tübingen', 'University of Education Schwaebisch Gmuend', 'Freie Universität Berlin']"
Q1203,"['Liverpool College of Art', 'Calderstones School', 'Dovedale Primary School']"
Q17714,"['University College', 'Trinity Hall', 'St Albans School', 'St Albans High School for Girls']"
Q5383,['Ravensbourne']
Q2599,['Liverpool Institute High School for Boys']
Q2643,"['Liverpool Institute High School for Boys', 'Dovedale Primary School']"
Q2808,"['Royal Academy of Music', 'University of London']"
Q15869,"[""St. Peter's Boys School""]"
Q43274,"['Aberystwyth University', 'Trinity College', 'Royal Air Force College Cranwell', 'Hill House International Junior School', 'Cheam School', 'Gordonstoun', 'Geelong Grammar School', 'Britannia Royal Naval College']"
Q483203,['University of Warwick']
Q48187,['Kingston University']
Q83492,['Rose Bruford College']
Q128121,"['London School of Economics and Political Science', 'Dartford Grammar School']"
Q349391,['Middlesex University']
Q9545,"[""St John's College"", 'Fettes College', 'City Law School', 'Chorister School']"
Q15873,"['Imperial College London', 'University of London']"
Q44461,"['Balliol College', 'University of Oxford', 'Oundle School']"
Q106481,"['Royal College of Art', 'Chelsea College of Art and Design', 'Royal Academy of Dramatic Art', 'Latymer Upper School']"
Q166389,"['Bristol Old Vic Theatre School', 'Sevenoaks School', 'Bedales School']"
Q80,"[""The Queen's College"", 'Emanuel School']"
Q180861,"['Cambridgeshire High School for Boys', 'University of Westminster']"
Q44306,"['Rugby School', ""King's College"", 'University of Cambridge']"
Q168724,"['Newnham College', 'University of Cambridge']"
Q16296,['Bristol Old Vic Theatre School']
Q189599,['London School of Economics and Political Science']
Q175195,['Charterhouse School']
Q171745,"['Sherborne School', 'Bristol Old Vic Theatre School']"
Q163286,"['New College', 'Latymer Upper School', 'Wetherby School']"
Q173061,['Anglia Ruskin University']
Q162492,['Royal Conservatoire of Scotland']
Q58444,"[""Queen's University Belfast""]"
Q23760,"['Newcastle University', ""The Queen's College"", 'Chorister School', 'St. Bees School']"
Q173158,"['The Manchester Grammar School', 'University of Salford', 'Pendleton College']"
Q42,"[""St John's College"", 'Brentwood School']"
Q46248,['John Hampden Grammar School']
Q180975,"['Royal College of Music', 'Magdalen College', 'Westminster School']"
Q49017,"['Selwyn College', 'Eton College']"
Q309926,"['Staffordshire University', 'Ysgol Syr Thomas Jones']"
Q185165,['University High School']
Q210059,['Whitgift School']
Q190151,['Queen Mary University of London']
Q192912,"[""Queens' College""]"
Q200405,"[""Saint Martin's School of Art"", 'Royal Academy of Dramatic Art', ""St Michael's Preparatory School, Otford"", 'Central Saint Martins']"
Q49081,"['University of Oxford', 'The Leys School']"
Q234679,"[""St. Hilda's School, Bushey""]"
Q185343,"['University of Leeds', 'Gosforth Academy', 'Harlow College']"
Q264766,"['Wheatley Park School', ""St Hugh's College""]"
Q569003,['University of Southampton']
Q205739,['Northampton School for Boys']
Q200534,"['University of Cambridge', 'Fettes College']"
Q178517,['Anglia Ruskin University']
Q10648,"['University of Edinburgh', 'Kirkcaldy High School']"
Q151231,['Royal Academy of Music']
Q428223,['King Edward VI College Stourbridge']
Q55294,['Royal Academy of Dramatic Art']
Q82238,"[""St. Thomas' Church School, Howrah""]"
Q117392,['London Academy of Music and Dramatic Art']
Q52392,['University of Birmingham']
Q191104,"['Royal Academy of Dramatic Art', 'Rotherham College of Arts and Technology']"
Q3008,['Elvian School']
Q210741,"['University of Cambridge', 'Pembroke College']"
Q223985,"['Brasenose College', 'Shrewsbury School', 'Birkdale School']"
Q204943,"[""Pate's Grammar School""]"
Q181413,"['Central School of Speech and Drama', 'The Open University']"
Q208590,"[""Cheltenham Ladies' College"", 'Central School of Speech and Drama', 'Leweston School', 'National School of Arts and Techniques of theater']"
Q194419,"['Stowe School', 'Scaitcliffe']"
Q190379,"['Woolverstone Hall School', 'University of Sussex', 'University of East Anglia']"
Q193648,"['Royal College of Art', 'University of Sunderland', 'Leeds Arts University', 'The Grangefield Academy', 'The Northern School of Art']"
Q47878,['Hackney College']
Q134867,['Bangor University']
Q26933,['Acton High School']
Q24962,"['University of Cambridge', 'Emmanuel College', 'Queen Mary University of London']"
Q106662,['Westminster Kingsway College']
Q151814,"['Elmhurst School for Dance', 'Tring Park School for the Performing Arts', 'Royal College of Music']"
Q9559,['Rutlish School']
Q732661,['Glasgow School of Art']
Q296028,['Guildhall School of Music and Drama']
Q211588,"['Fitzwilliam College', 'Marlborough College']"
Q210669,['University College London']
Q310052,"[""City of London Freemen's School"", 'Central School of Art and Design']"
Q45909,"['Goldsmiths, University of London', 'Ammanford Grammar School']"
Q44980,"['Broomloan Road Primary School', 'Govan High School']"
Q153330,"['Britannia Royal Naval College', 'Heatherdown Preparatory School', 'Lakefield College School', 'Gordonstoun']"
Q329,"['Paris Nanterre University', 'University of Paris (1896-1968)', 'Sciences Po', 'Lycée Chaptal']"
Q157,"['Panthéon-Assas University', 'Sciences Po', 'HEC Paris', ""École nationale d'administration"", 'Jean-Baptiste-de-La-Salle de Rouen School', 'Lycée Pasteur']"
Q208258,['Lycée Paul-Valéry']
Q106383,['Cours Florent']
Q106365,"[""Conservatoire national supérieur d'art dramatique"", 'Institut national des langues et civilisations orientales', 'Conservatoire à rayonnement régional de Versailles']"
Q104326,['Conservatoire de Paris']
Q103114,"['Lycée Chaptal', 'Institut National Agronomique Paris-Grignon', 'École nationale supérieure Louis-Lumière']"
Q43697,"['Lycée Carnot', 'Cours Simon']"
Q101410,"['Le Mans University', 'Paris Descartes University - Sorbonne Paris Cité', 'Château des Perrays (Parigné-le-Pôlin)', '', 'Sciences Po']"
Q222944,"['Lycée Henri-IV', 'Lycée Michel-Montaigne']"
