wikidata_code_b,educationQ20961731,['École nationale supérieure des Beaux-Arts']
Q4815810,['Istanbul Technical University']
Q2600503,"['Columbia University', 'California State Polytechnic University, Pomona']"
Q4344642,['Yerevan State Linguistic University']
Q12181648,['Cairo  University']
Q28395621,['University of Oklahoma']
Q6032015,['University of Dundee']
Q17160192,['Komazawa University']
Q4709599,['Kwame Nkrumah University of Science and Technology']
Q5147678,['University of the West Indies']
Q6205427,['University of London']
Q20090713,['Fourah Bay College']
Q44738480,['HEC Paris']
Q19696256,['Defence Services Academy']
Q7382965,['National Autonomous University of Mexico']
Q12359181,['Estonian Academy of Arts']
Q5409759,"['Carleton University', 'Indiana University']"
Q12848688,['Gerasimov Institute of Cinematography']
Q6380161,['Pratt Institute']
Q7070740,['University of Yangon']
Q18763773,['University of the West Indies']
Q18763806,"['London School of Economics and Political Science', 'Barry University', 'Council of Legal Education']"
Q20511258,['Yerevan State Institute of Fine Arts and Theater']
Q23092056,"['Columbia University College of Physicians and Surgeons', 'Long Island University']"
Q29618104,"['Clark Atlanta University', 'Cuttington University']"
Q4129373,['Tbilisi State University']
Q3302317,['University of Tirana']
Q28680716,"['Uzbekistan State Institute of Arts and Culture', 'Tashkent Pedagogical University']"
Q7970872,"['King Saud University', 'Somali National University']"
Q6345467,"['Fourah Bay College', 'University of Sheffield']"
Q49812903,['University of Medicine 2']
Q4821915,['Defence Services Academy']
Q1401311,['Ss. Cyril and Methodius University of Skopje']
Q7807725,['Defence Services Academy']
Q4054578,['Fergana state university']
Q5242710,['Addis Ababa University']
Q6733020,"['Université Laval', 'Johns Hopkins University', 'Paul H. Nitze School of Advanced International Studies', 'Marien Ngouabi University']"
Q4441855,['National University “Yaroslav the Wise Law Academy of Ukraine”']
Q6075454,['University of Miami']
Q51954733,['Jāzeps Vītols Latvian Academy of Music']
Q16081086,['University of Montenegro Faculty of Law']
Q6247247,['Whanganui Collegiate School']
Q717177,['Ss. Cyril and Methodius University of Skopje']
Q55191164,['Universidad Nacional Autónoma de Honduras']
Q18014117,['Nalanda College']
Q20511296,['Yerevan State University']
Q5175055,['Massachusetts Institute of Technology']
Q7399787,"['University of Medicine, Mandalay']"
Q18756298,['Emmanuel College']
Q3940826,['University of Bologna']
Q24565239,['Université de Montréal']
Q7155325,['University of Minnesota']
Q27805320,"['San Francisco State University', 'Macalester College']"
Q4795550,['Makerere University']
Q4751320,['Nalanda College']
Q28062429,['Embry–Riddle Aeronautical University']
