wikidata_code_b,education
Q510157,['Tallinn University of Technology']
Q19668477,['Elam School of Fine Arts']
Q17343092,['Tbilisi State University']
Q1967518,['Shota Rustaveli Theatre and Film University']
Q5607682,['Elam School of Fine Arts']
Q739485,['Pantheon-Sorbonne University']
Q4820115,['University of Pittsburgh']
Q4151870,['Baku State University']
Q3735667,['University of Tartu']
Q24671,['Higher Party School at the Central Committee of the CPSU']
Q6943310,['University of Khartoum']
Q3742426,['Estonian Academy of Music and Theatre']
Q554114,['University of Latvia']
Q7242964,['University of Tartu']
Q6808014,"['Harvard Law School', 'University of Melbourne', 'Melbourne Law School']"
Q20423358,"['Paris Nanterre University', 'Tunis University']"
Q17146189,['National Polytechnic University of Armenia']
Q2750774,['University of Hassan II Casablanca Ain Chok']
Q5566458,['En los muelles de la cama']
Q514075,['Higher Technical Institute of Cyprus']
Q252264,['University of Edinburgh']
Q9298572,['Providence University']
Q6653764,['National Chengchi University']
Q5437938,"['University of North Carolina at Chapel Hill', 'University of Tirana']"
Q5095139,"['Erasmus University Rotterdam', 'Nanyang University']"
Q285646,['Marien Ngouabi University']
Q3716760,['University of Trieste']
Q24480,['Kyrgyz National University']
Q15909418,"['National Taiwan University', 'New York University Institute of Fine Arts']"
Q4115007,['University of Basrah']
Q1561358,['University of Arts in Belgrade']
Q368686,['Pontifical Urbaniana University']
Q2067182,"['University of North Texas', 'An-Najah National University']"
Q6138404,['Andrés Bello Catholic University']
Q3666330,['University of Baghdad']
Q8275869,"['Fu Hsing Kang College, National Defense University']"
Q4973709,['Yonsei University']
Q7372349,"['Columbia University', 'University of California, Los Angeles', 'School of Oriental and African Studies']"
Q3382593,['University of Kisangani']
Q4936427,['University of Lagos']
Q12378886,"['Vändra Gymnasium', 'University of Tartu', 'University of Alberta', 'Tallinna Tehnikaülikool. Geoloogia Instituut']"
Q539350,"['John F. Kennedy School of Government', 'University of Pristina', 'Johns Hopkins University', 'University of Essex']"
Q307921,"['Mohammed V University at Agdal', 'Mohammed V University']"
Q1889088,"['London School of Economics and Political Science', 'Harvard University']"
Q356237,['French Civil Aviation University']
Q4064363,['Azerbaijan Medical University']
Q3241324,['Armenian State Pedagogical University']
Q4261409,['University of Indonesia']
