wikidata_code_B,education
Q2631745,['Saratov Conservatory']
Q6880732,['University of Jordan']
Q4992193,['National Film School of Denmark']
Q1348480,['Technical University of Denmark']
Q459310,"['Harvard University', 'University of Pennsylvania']"
Q426979,['University of Lisbon']
Q78726,['University of Vienna']
Q715633,['Central Ukrainian State Pedagogical University named after Vladimir Vinnichenko']
Q1289688,['Vilnius University']
Q114623,['University of Graz']
Q57741,"['American University of Beirut', 'University of Texas at Austin', ""St. Edward's University""]"
Q723761,['Pontifical Catholic University of Peru']
Q953339,"['University of Haifa', 'Hebrew University of Jerusalem']"
Q1735170,['University of Tartu']
Q1975423,['Gerasimov Institute of Cinematography']
Q1381467,"['Galatasaray High School', 'University of Paris III: Sorbonne Nouvelle']"
Q536298,['Robert College']
Q983547,['University of Dhaka']
Q12214289,['Alexandria University']
Q1373353,['Mapúa University']
Q1322048,"['University of Latvia', 'Hebrew University of Jerusalem']"
Q689828,['Leipzig University']
Q72339,['Georgian Technical University']
Q983028,['University of Algiers']
Q707029,['Estonian University of Life Sciences']
Q1301554,['University of Theatre and Film Arts']
Q453228,['University of Sarajevo']
Q360661,['Chukyo University']
Q774300,['Vilnius University']
Q464270,['Musashino Art University']
Q605675,"['University of Chicago', 'Al-Azhar University']"
Q381845,"['University of Hawaii', 'Seoul National University']"
Q8846905,['Pontifical Catholic University of Chile']
Q718303,"['Ben Davis High School', 'Michigan State University']"
Q1794177,['Royal Danish Academy of Fine Arts']
Q483578,['Chosun University']
Q2378699,['Film and TV School of the Academy of Performing Arts in Prague']
Q562577,"['University of Costa Rica', 'University of California, Berkeley']"
Q5092562,"['Immaculate Heart College', 'San Francisco State University']"
Q712802,['Chongqing Jianzhu University']
Q790699,"['Tel Aviv University', 'Bar-Ilan University']"
Q1043127,['Universidad de la República']
Q223555,"['Gordon College', ""St Patrick's High School, Karachi"", 'Institute of Business Administration, Karachi']"
Q133657,['University of Oslo']
Q467052,['Guildhall School of Music and Drama']
Q709534,['MSU Faculty of Journalism']
Q57758,"['University of Bangui', 'Lille University of Science and Technology']"
Q313991,['University at Buffalo']
Q112145,"['University of Graz', 'Diplomatic Academy of Vienna']"
Q351280,"['Fitzwilliam College', 'Government College University']"
Q1397396,"['London School of Economics and Political Science', 'University of Reading', 'Charles University']"
Q464813,"['Central Conservatory of Music', 'Columbia University']"
Q2401668,['Academy of Performing Arts']
Q446692,['Politehnica University of Bucharest']
Q150276,"['University of Zululand', 'University of Bristol', 'Adams College', 'University of Liverpool', 'University of Natal']"
Q821752,['University of Bucharest']
Q743770,['Paris-Sorbonne University - Paris IV']
Q1089410,"['Kasetsart University', 'Mahidol University']"
Q715468,"['National and Kapodistrian University of Athens', ""St Catherine's College""]"
Q1379791,['University of Copenhagen']
Q549603,['Novosibirsk State University']
Q182673,"['Riga Stradiņš University', 'Yale University']"
Q58191,"['Faculty of Humanities and Social Sciences, University of Zagreb']"
Q362998,['']
Q527596,['National Academy of Physical Education and Sport']
Q18352991,['University of Zambia']
Q520173,"['San Beda University', 'De La Salle University']"
Q637689,['International Writing Program']
Q124148,['Conservatoire de Musique de Genève']
Q2396467,"['University of Chile', 'Lund University', 'Lund University']"
Q1072531,['International Writing Program']
Q450889,['Moscow Conservatory']
Q729210,['Royal College of Art']
Q270953,['Saint Petersburg Lyceum 239']
Q78883,['University of Salzburg']
Q625451,['Hanyang University']
Q949680,['National Film School of Denmark']
Q468064,"['Smith College', 'Princeton University', 'Woodrow Wilson School of Public and International Affairs']"
Q700600,"['Faculty of Humanities and Social Sciences, University of Zagreb']"
Q874101,['Aoyama Gakuin University']
Q370856,['Babeș-Bolyai University']
Q57460,['Fourah Bay College']
Q439686,"['University of Belgrade Faculty of Law', 'University of Arts in Belgrade']"
Q474312,"['Northwestern University', 'University of Liberia']"
Q1274258,"['Pontifical Catholic University of Chile', 'University of Chicago']"
Q312608,[]
Q532674,"['University of Bucharest', 'Bucharest Academy of Economic Studies']"
Q452860,['International Writing Program']
Q1188954,['Chuo University']
Q1424299,['Aarhus University']
Q264808,['Moscow Conservatory']
Q630643,"['Royal Academy of Dramatic Art', 'London Academy of Music and Dramatic Art']"
Q57701,"['University of Miami School of Law', 'University of Miami']"
Q708860,['Jilin University of Technology']
Q936783,['University of Oslo']
Q443471,['Donetsk National Technical University']
Q4801729,"['University of Valle', 'Cornell University College of Agriculture and Life Sciences']"
Q2032745,"['University of Chile', 'Pontifical Catholic University of Chile']"
Q2436563,['Beit Zvi']
Q1257297,"['Oles Honchar Dnipro National University', ""Peoples' Friendship University of Russia""]"
Q510780,['Lviv State University of Physical Culture']
