wikidata_code_b,education
Q967283,"['Florida Atlantic University', 'Thunderbird School of Global Management']"
Q1804179,"['Anglia Ruskin University', 'Central School of Art and Design']"
Q6681300,"[""Busan Girls' Commercial High School""]"
Q440387,"['Princeton University', 'University of Chile']"
Q3141228,['National Chengchi University']
Q5129289,['University of Chile']
Q1963057,['American University of Beirut']
Q1700398,['University of Otago']
Q535258,['Brown University']
Q2909958,"['Harvard University', 'Hebrew University of Jerusalem', 'Tel Aviv University']"
Q126671,['Bucharest Academy of Economic Studies']
Q2495157,"['Islamic University of Madinah', 'Al-Azhar University']"
Q532632,['Pontifical Gregorian University']
Q447625,['Humboldt University of Berlin']
Q6782114,['University of Pennsylvania']
Q1671928,['University of Lyon']
Q57738,['University of the West Indies']
Q3547095,"['De La Salle University', 'Arellano University']"
Q6547452,"['Harvard University', 'Carleton College']"
Q625534,['Inha University']
Q1059948,['Royal Military Academy Sandhurst']
Q600326,['Krastyo Sarafov National Academy for Theatre and Film Arts']
Q3660117,"['National University of Colombia', 'Pontifical Xavierian University']"
Q2837761,"['University of Bucharest', 'University of Paris VI: Pierre-and-Marie-Curie University']"
Q644394,"['National University of Callao', 'Complutense University of Madrid', 'University of Paris (1896-1968)']"
Q1703861,['Universidad de la República']
Q348410,['Academy of Performing Arts in Bratislava']
Q3499367,['University of Ljubljana']
Q2745408,['Moscow Conservatory']
Q3107476,"['London School of Economics and Political Science', 'University of California, Berkeley', 'University of Indonesia', 'International Institute of Social Studies']"
Q7462429,['University of the Punjab']
Q716091,"['New Method College, Hong Kong']"
Q2325971,"['Hebrew University of Jerusalem', 'Ben-Gurion University of the Negev']"
Q445776,['Ain Shams University']
Q6889310,['École normale supérieure']
Q197324,['National Academy of Chinese Theatre Arts']
Q557980,['Pontifical University of Saint Thomas Aquinas']
Q1973210,['Saint Petersburg Conservatory']
Q3936060,"[""Jeju Girls' High School""]"
Q168217,"['Riga Technical University', 'John Paul II Catholic University of Lublin', 'Pontifical Lateran University']"
Q706735,['National Chengchi University']
Q818171,['Ss. Cyril and Methodius University of Skopje']
Q548609,"[""Queen's University""]"
Q1395772,"['Dharmasoka College', 'Ananda College']"
Q3242108,['Sofia University']
Q86697,"['Harvard Business School', 'Harvard University', 'University of St. Gallen']"
Q220521,['University of Ljubljana']
Q3437212,['Denison University']
Q984277,"['University of Canterbury', 'The Wharton School']"
Q2202270,"['George Washington University', 'Gadjah Mada University', 'University of Chicago', 'University of Notre Dame', 'Al-Azhar University']"
Q5103384,['Kyung Hee University']
Q195779,"['Faculty of History, Lviv University', 'Lviv University']"
Q2985594,"['Smith College', 'University of Sussex']"
Q553216,['Prydniprovska State Academy of Civil Engineering and Architecture']
Q1452394,"['University of Auckland', 'Royal Academy of Dramatic Art']"
Q1277450,['']
Q3266630,"['Académie de la Grande Chaumière', 'University of the Andes']"
Q484640,['Yonsei University']
Q1975243,['Armenian State University of Economics']
Q1377336,['University of Havana']
Q57808,['Tashkent Institute of Irrigation and Melioration']
Q3624254,['University of Sarajevo']
Q591530,['Jakarta State Islamic University']
Q3078546,['University of Kinshasa']
Q4164839,['']
Q2466605,['Millfield']
Q444262,['University of Wisconsin–Milwaukee']
Q12617440,['Korea University']
Q3485348,['City College of New York']
Q1253326,['University of Belgrade Faculty of Philosophy']
Q551372,['University of Adelaide']
Q865253,['University of Applied Arts Vienna']
Q264711,['Queens College']
Q455284,['Accademia nazionale di Santa Cecilia']
Q1655613,['Wesley College']
Q3310660,['University of Nairobi']
Q10291883,['University of Tehran']
Q685146,['University of Ljubljana']
Q581943,"['Faculty of Political Sciences, University of Belgrade']"
Q5680756,"['Pondok Modern Darussalam Gontor', 'Universitas Islam Negeri Maulana Malik Ibrahim']"
Q5547131,['Gerasimov Institute of Cinematography']
Q465923,['Jorge Tadeo Lozano University']
Q6734697,['University of Colorado Boulder']
Q3595473,"['Somali National University', 'Taras Shevchenko National University of Kyiv']"
Q89154,['University of Music and Performing Arts Vienna']
Q4320690,"['St. Roberts School, Darjeeling', ""St Joseph's College, Darjeeling""]"
Q1348577,"['Faculty of Law, Charles University in Prague']"
Q262719,"['Middle Temple', 'University College London']"
Q113688,['University of Graz']
Q2442984,"['Fizychnyĭ fakulʹtet', 'Lviv University']"
Q1657292,"['University of Chile', 'Princeton University']"
Q5396010,"['University of Oxford', 'Columbia University']"
Q2604182,['Mercer Island High School']
Q1192059,['University of Belgrade School of Medicine']
Q3163111,"['University of Paris (1896-1968)', 'University of Tehran']"
Q706983,"['Moscow Conservatory', 'Estonian Academy of Music and Theatre', 'Tallinn Music High School']"
Q980349,"['Faculty of Arts of Paris', 'Ss. Cyril and Methodius University of Skopje', 'University of Zagreb']"
Q449618,['Riga Technical University']
Q5249736,['Jakarta Institute of Arts']
Q669869,"['Benjamin T. Rome School of Music', 'The Catholic University of America']"
Q1258592,"['Instituto de Humanidades ""Luis Campino""']"
Q5964149,['University of Tehran']
Q541214,"[""Sookmyung Women's University"", 'Yonsei University']"
Q1525168,['Moscow Conservatory']
Q1368935,['University of Tartu']
Q16733966,"['University of California, Berkeley', 'University of Ibadan']"
Q1279451,['Academy of Performing Arts']
Q333868,['University of Pristina']
Q11115366,"['Tata Institute of Fundamental Research', 'University of Madras', 'Indian Institute of Science']"
Q556828,"['National Taiwan University', 'University of Toronto', 'Université de Sherbrooke', 'Tsinghua University']"
