wikidata_code_b,educationQ2127022,['The Royal Conservatory of Music']
Q21212575,"['Yerevan State University', 'Maxim Gorky Literature Institute']"
Q5438902,"['School of Oriental and African Studies', 'University of Zimbabwe']"
Q25570707,['University of Pristina']
Q9056875,['Universidad Nacional Autónoma de Honduras']
Q3326052,['Ecole Spéciale Militaire de Saint-Cyr']
Q6787393,['University of Nairobi']
Q4558611,['']
Q12154597,['Lviv National Academy of Arts']
Q7147122,['Makerere University']
Q5072846,"['Syracuse University', 'New York University', 'Steinhardt School of Culture, Education, and Human Development', 'Lebanese University']"
Q2735794,['Pontifical Gregorian University']
Q9069105,['University of Utah']
Q5385281,"['Moscow Conservatory', 'National University of Mongolia']"
Q10947979,['American University of Beirut']
Q6761446,['Makerere University']
Q27532712,"['National University of Rwanda', 'Université de Montréal']"
Q2368962,['University of Ghana']
Q3784984,['University of Southampton']
Q16730783,['Cairo  University']
Q33218103,"['Helwan University', 'Cairo  University']"
Q15973191,['University of Portland']
Q4821269,"[""Peoples' Friendship University of Russia""]"
Q23304414,['Manchester Metropolitan University']
Q4102519,['Baku Academy of Music']
Q21484001,['University of Milan']
Q7612631,['Westmont College']
Q6122701,['Ss. Cyril and Methodius University of Skopje']
Q28868753,['Kigali Independent University ULK']
Q1270451,"['University of Cambridge', 'University of the Western Cape']"
Q3530022,"['Université Laval', 'Purdue University']"
Q3335632,"['University of Rennes 2 - Upper Brittany', 'University of Rennes']"
Q3409812,['Ss. Cyril and Methodius University of Skopje']
Q5005260,"['National University of Mongolia', 'Taras Shevchenko National University of Kyiv']"
Q4503447,['Gerasimov Institute of Cinematography']
Q19754171,['Tulane University']
Q4807567,"[""St. Anthony's College, Kandy""]"
Q7428469,['Moscow Conservatory']
Q13122550,['University of Dar es Salaam']
Q2569154,['Kharkivsʹka derz͡havna akademii͡a dyzaĭnu i mystet͡stv']
Q16267097,"['Lycée Louis-le-Grand', 'École normale supérieure de Fontenay-Saint-Cloud']"
Q6768990,"['Aston University', 'University of Birmingham']"
Q3558420,"['Cardiff University', 'University of Oxford', 'University of Queensland']"
Q5541372,"['Northwestern University', 'University of Liberia']"
Q12242426,['United Arab Emirates University']
Q18507403,['Academy of Music']
Q126797,['Ss. Cyril and Methodius University of Skopje']
Q6441096,"['University of Panama', 'Tulane University']"
Q12136914,['National Academy of Fine Arts and Architecture']
Q5741535,"['De La Salle University', 'University of the Philippines']"
Q13122985,['Fordham University']
Q767061,"['American University of Beirut', 'George Washington University']"
Q5880081,"['Autonomous University of Barcelona', 'University of Panama']"
Q6385654,['University of Edinburgh']
Q3418338,['London School of Economics and Political Science']
Q38458447,['Georgetown University']
Q7636620,['Temple University']
Q6266369,"[""St. John's College, Belize""]"
Q1974207,['Moscow Theological Academy']
Q1657025,['Khujand State University']
Q4707696,['Defence Services Academy']
Q5335744,['University of the Philippines']
Q6166826,['Universidad de San Carlos de Guatemala']
Q7862225,['Rice University']
Q2308053,['Ateneo de Manila University']
Q4945386,['Kyrgyz Technical University']
Q2031779,['Moscow Theological Academy']
Q14608553,"['Estonian Academy of Music and Theatre', 'Moscow Conservatory']"
Q3486213,['Anton de Kom University of Suriname']
Q30936460,"['University of Lisbon', 'Technical University of Lisbon', 'New University of Lisbon']"
Q4700414,['University of Dhaka']
Q4363502,['Shota Rustaveli Theatre and Film University']
Q21000521,['University of Panama']
Q13060129,['Bangladesh University of Engineering and Technology']
Q8065024,['University of Texas at El Paso']
Q75470,['Yerevan State Komitas Conservatory']
Q6100450,['Universidad de San Carlos de Guatemala']
Q4752061,['Moldova State University']
Q3432103,['Australian Maritime College']
Q6007003,['Francisco Marroquín University']
Q3126354,['Yerevan State University']
Q4388148,['Chernihiv Higher Military Aviation School of Pilots']
Q11204712,"[""St Catherine's College"", 'University of Dhaka']"
Q6378456,"['Columbia University', 'Long Island University']"
Q4503092,['Moldova State University']
Q7539453,['University of Montenegro Faculty of Law']
Q3920051,['Belarusian State Academy of Arts']
Q4396450,['Gerasimov Institute of Cinematography']
Q3275413,"['University of Paris (1896-1968)', 'University of London']"
Q2439438,"['Xavier High School, Micronesia']"
Q4670603,['University of Dhaka']
Q4216279,['']
Q4756599,"['Harvard Law School', 'University of Dar es Salaam']"
Q4864034,['Cornell University']
Q4102206,['Azerbaijan State University of Culture and Arts']
Q16193890,"['University of Dar es Salaam', 'University of Tsukuba']"
Q5089030,"['University of Michigan', 'University of the Philippines']"
Q16186325,['Tanzania Military Academy']
Q22671116,['University of Zambia']
Q27717033,['Yangon Technological University']
Q23055315,['University of Yangon']
Q7909076,['Moldova State University']
Q6761316,"['London School of Economics and Political Science', 'Makerere University']"
Q1606997,"['University of Nottingham', 'Uganda Christian University']"
Q3594635,"['Massey University', 'University of Auckland']"
Q8014785,['The Open University of Tanzania']
Q12768448,"['Comenius University in Bratislava', 'University of Economics in Bratislava']"
Q3434569,['École des Ponts ParisTech']
Q3920155,['Faculty of history of Belarusian State University']
Q12594146,['Kim Il-sung University']
Q4308536,['Baku State University']
Q3550437,['Defence Services Academy']
Q16105431,"['Makerere University', 'City, University of London']"
Q16344956,['University of the Punjab']
Q18527643,['University of Kelaniya']
Q6399334,['Kuwait University']
Q2941039,"['National University of Rwanda', 'University of Illinois system']"
Q22133041,"['University of Tartu', 'Hebrew University of Jerusalem']"
Q7519223,['Makerere University']
Q4299610,['Chernivtsi Art School']
Q7852777,['University of Yangon']
Q5042613,['Universidad Nacional Autónoma de Honduras']
Q6225954,"['University of Dar es Salaam', 'Tanzania Military Academy']"
Q25112522,['Makerere University']
Q18162113,"['University of Warwick', 'Washington College of Law']"
Q50418292,"['Imperial College London', 'Indian Institute of Technology Kharagpur']"
Q18686245,['Makerere University']
Q7461748,"['University of Birmingham', 'Dhaka College', 'University of Dhaka', 'American University']"
Q11013171,['University of Latvia']
Q4664668,['Florida Southern College']
Q7037478,['University of Dhaka']
Q16647851,['University of Paris (1896-1968)']
Q2882145,['Rafael Landívar University']
Q16186812,['University of Fribourg']
Q15615139,['University of Liepāja']
Q377448,['Université catholique de Louvain']
Q3086904,"['Harvard University', 'Antioch University', 'Antioch College']"
Q5202525,['Universidad Nacional Autónoma de Honduras']
Q6893124,"['University of Mysore', 'Damascus University']"
Q19605363,"['University of Hawaii', 'Bangladesh University of Engineering and Technology', 'Lund University']"
Q3240758,['Fairleigh Dickinson University']
