wikidata_code_b,education
Q7381824,['Prince Edward School']
Q16301650,"['Universidad Católica ""Nuestra Señora de la Asunción""']"
Q1364614,['Pontifical Gregorian University']
Q4334549,['Gerasimov Institute of Cinematography']
Q2038755,['Yerevan State University']
Q16751286,['Damascus University']
Q4665587,['United Arab Emirates University']
Q344189,"['Çukurova University', 'American University of Beirut']"
Q47527935,['University of Hull']
Q3525085,['Falcon College']
Q2494542,"['Belarusian State Academy of Arts', '']"
Q6047371,['National University of Asuncion']
Q3529279,['Nalanda College']
Q7926255,['Moldova State University']
Q47456171,['Tbilisi State University']
Q4665821,['King Fahd University of Petroleum and Minerals']
Q2784436,['Al-Azhar University']
Q6515378,['National University of Singapore']
Q3741462,['University of Tartu']
Q4119453,['King Saud University']
Q5052566,['University of Zimbabwe']
Q15524904,"['Harvard University', 'University of Arizona']"
Q5361992,['Pontifical Urbaniana University']
Q6013838,['Autonomous University of Santo Domingo']
Q19792475,['Saint Petersburg State University']
Q12866582,['Tbilisi State University']
Q7427049,['Royal Military Academy Sandhurst']
Q1904253,['University of Nairobi']
Q6271847,['University of Nairobi']
Q3179975,['Ananda College']
Q16377360,['Baku State University']
Q6426502,['University of Ghana']
Q26251226,"['University of Arizona', 'University of Oregon', 'University of Colorado', 'Arizona State University', 'American University of Beirut']"
Q27447785,['Agostinho Neto University']
Q7296130,"['Royal College, Colombo']"
Q7022967,['University of National and World Economy']
Q5042277,['Graduate Institute of Development Studies']
Q5429527,['King Saud University']
Q5675594,"['University of Costa Rica', 'University of Sussex']"
Q58244,"['Fourah Bay College', 'University of Nottingham']"
Q6176530,['Guildhall School of Music and Drama']
Q15980311,['Latin University of Costa Rica']
Q5989499,['Universidad Técnica Luis Vargas Torres']
Q58224,"['New York Law School', 'John Jay College of Criminal Justice']"
Q3318495,['Tunis University']
Q1673889,"['University of London', 'University of the West Indies']"
Q1318064,['University of Belgrade School of Medicine']
Q3531936,['University of Hawaii']
Q5696180,['En los muelles de la cama']
Q2512500,['M.V. Frunze Military Academy']
Q6243596,"['Duke University', 'St. Olaf College']"
Q4070534,['Moldova State University']
Q1348130,"['University of Canberra', 'College of African Wildlife Management']"
Q1385794,['Royal University of Phnom Penh']
Q7847292,"['University of Reading', 'University of Zimbabwe', 'Wymondham College']"
Q2621764,['Government College University']
Q500385,['University of Lisbon']
Q51460814,"['HEC Montréal', 'Conservatoire national des Arts et Métiers']"
Q1710630,['University of Malta']
Q7853527,['Lelean Memorial School']
Q19345818,['Tunis University']
Q16970991,"[""Peoples' Friendship University of Russia"", 'University of Adelaide']"
Q21091536,['University of Nantes']
Q7146898,['Makerere University']
Q4855853,"['Goldsmiths, University of London']"
Q3345756,['Université Laval']
Q16729760,['LASALLE College of the Arts']
Q446136,['Loyola University Chicago']
Q20561830,['Tbilisi State University']
Q5366225,"['Makerere University', 'Tanzania Military Academy', 'Uganda Senior Command and Staff College']"
Q4311336,['Yerevan State University']
Q13988699,['Imperial College London']
Q6636185,['Moscow State University Faculty of Economics']
Q8063398,['Tbilisi State University']
Q2079921,['Azerbaijan Medical University']
Q4922790,['Royal University of Law and Economics']
Q8046162,['']
Q11658327,['Tamkang University']
Q3268211,['University of Lisbon']
Q2925999,"['Free University of Brussels', 'Université catholique de Louvain']"
Q2821638,['Pantheon-Sorbonne University']
Q6777186,['Royal Academy of Music']
Q6828395,['Diponegoro University']
Q14836545,"['Government College University', 'University of the Punjab']"
Q7463219,"['National University of Singapore', 'Stanford University']"
Q2134010,['Pontifical Urbaniana University']
Q16875884,"['Howard University', 'University of the West Indies']"
Q27048327,['Tbilisi State University']
Q4399052,['Riga Technical University']
Q6829233,['Anglo-Chinese School']
Q33136404,['National University of Singapore']
Q16107320,['Tribhuvan University']
Q2586564,"['London School of Economics and Political Science', 'University of Zimbabwe']"
Q7408791,"['University of Oxford', 'Government College University', ""St. Anthony's High School""]"
Q7176147,['Makerere University']
Q17880190,['Kuwait University']
Q3652728,['Tbilisi State University']
Q24961980,['University of Cuenca']
Q22986085,['Pantheon-Sorbonne University']
Q5345394,"['Makerere University', 'University of East Africa']"
Q4726230,"['Harvard Law School', 'University of the Philippines']"
Q6872846,"['University of Toronto', 'University College London', 'National University of Singapore']"
Q6703131,"['Columbia University', 'University of Cape Town']"
Q4776584,"['University of the City of Manila', 'San Beda University']"
