wikidata_code_b,education
Q273812,['Leiden University']
Q389851,['Franz Liszt Academy of Music']
Q230850,"['Moscow State Institute of International Relations', 'John F. Kennedy School of Government']"
Q368449,"['Jāzeps Vītols Latvian Academy of Music', 'Lithuanian Academy of Music and Theatre']"
Q293679,"['Syracuse University', 'Menlo College', 'Maxwell School of Citizenship and Public Affairs']"
Q71018,"['Humboldt University of Berlin', 'Leipzig University']"
Q2739159,"['The Lawrence School, Sanawar', 'Lady Shri Ram College for Women', 'Jawaharlal Nehru University', 'University of Delhi']"
Q272469,['Tokai University']
Q284498,['University of Belgrade']
Q978265,['Royal Academy of Fine Arts']
Q370921,['Duke University']
Q29024,['University of Helsinki']
Q317485,['University of Helsinki']
Q718601,"['New College', 'University of Ghana', 'Lancing College', 'City, University of London']"
Q32927,['Saint Petersburg State University of Culture and Arts']
Q57261,['Sofia University']
Q257267,['Newbridge College']
Q1334475,['Facultad de Medicina']
Q451359,"['University of Chile', 'National Autonomous University of Mexico']"
Q1392583,['Avenida Edgard Santos']
Q57590,"['Moscow State University', 'Geological Faculty of Moscow State University']"
Q256425,['University of Tsukuba']
Q8933393,"['Central Academy of Fine Arts', 'Art Students League of New York']"
Q57806,"['Harvard Business School', 'Amherst College', 'Athens College']"
Q269828,['Gerrit Rietveld Academie']
Q261199,['Sibelius Academy']
Q735585,"['Vefa High School', 'Marmara University']"
Q957078,['Jan Matejko Academy of Fine Arts in Krakow']
Q56220,['University of Innsbruck']
Q2628635,"[""Queen's University Belfast""]"
Q1346638,['The Chinese University of Hong Kong']
Q78841,"['University of Applied Arts Vienna', 'Academy of Fine Arts Vienna']"
Q3200364,['University of Calcutta']
Q26901,"['Ateneo de Manila University', 'The Catholic University of America']"
Q543982,['Institut des hautes études cinématographiques']
Q2468115,['Nishio high school']
Q689964,"['Christ Church', 'Harrow School']"
Q984154,"['National University of Theatre, Film and TV in Kiev']"
Q712383,"['Juilliard School', 'Mannes College The New School for Music']"
Q379563,"['Polytechnic School of the University of São Paulo', 'Cornell University', 'University of São Paulo']"
Q461675,['University of London']
Q381657,"['University of Groningen', 'Leiden University', 'Radboud University Nijmegen']"
Q381927,['Royal Conservatory of Brussels']
Q541213,"[""Peoples' Friendship University of Russia""]"
Q525109,['Ohio University']
Q633278,['']
Q59062,"['Faculty of Law, Charles University in Prague']"
Q2875339,['Pontifícia Universidade Católica de Minas Gerais']
Q313989,"['Finance University under the Government of the Russian Federation', 'V. I. Lenin Military-Political Academy']"
Q167113,['Gerasimov Institute of Cinematography']
Q917051,['University of Santo Tomas']
Q705644,['Guildhall School of Music and Drama']
Q432239,['University of Oxford']
Q983150,"['Academy of Performing Arts', 'Prague Conservatory']"
Q55366,['Ludwik Solski Academy for the Dramatic Arts']
Q265855,['Hebrew University of Jerusalem']
Q50678,"['University of Ghana', 'Achimota School']"
Q954355,['Pontifícia Universidade Católica de São Paulo']
Q70282,['Hochschule für Musik und Theater Hamburg']
Q170597,['Ryazan Airborne Command High School']
Q313243,"['Andhra University', 'Adyar Film Institute']"
Q663116,['Saint Petersburg State Medical University']
Q217154,['Shahid Beheshti University']
Q517337,['Nihon University']
Q740561,['Oslo Waldorf School']
Q728087,['Bezalel Academy of Art and Design']
Q116064,"['Australian National University', 'University of Basel']"
Q558182,"[""St. Xavier's College, Mumbai"", 'University of Mumbai']"
Q360433,"['University of Connecticut', 'Massachusetts Institute of Technology']"
Q690238,"['Pontifical Catholic University of Rio de Janeiro', 'University of São Paulo']"
Q290502,"['Instituto de Profesores ""Artigas""']"
Q361642,['']
Q5983599,"['University of Costa Rica', 'University of Michigan', 'Tulane University']"
Q579170,"['Central Music School', 'Special Music School of the St. Petersburg Conservatory']"
Q1270169,"['Academy of Dramatic Art', 'Faculty of Humanities and Social Sciences, University of Zagreb', 'Faculty of Electrical Engineering and Computing, University of Zagreb']"
Q565834,['New York University Tisch School of the Arts']
Q453066,['Eugeniusz Piasecki Academy of Physical Education in Poznan']
Q173175,['Synge Street CBS']
Q593118,['Gerasimov Institute of Cinematography']
Q725049,"['Massachusetts Institute of Technology', 'Waseda University', 'Tokyo Institute of Technology']"
Q57279,['Mircea cel Bătrân Naval Academy']
Q316526,['Faculty of Law at Comenius University in Bratislava']
Q620653,"['Boris Shchukin Theatre Institute', 'Top Courses for Scriptwriters and Film Directors', 'Moscow Art Theatre School']"
Q57348,['Addis Ababa University']
Q472356,['Philological Faculty of Moscow State University']
Q133705,['Tel Aviv University']
Q445121,['Conservatorium van Amsterdam']
Q3276491,['Meiji University']
Q484816,['Samara State Technical University']
Q725970,['Film and Television Institute of India']
Q2479548,"['Claremont Graduate University', 'Otis College of Art and Design']"
Q1884754,"['Peking University', 'Chulalongkorn University', 'Srinakharinwirot University', 'Chulachomklao Royal Military Academy', 'Silpakorn University']"
Q311407,['Federal University of Minas Gerais']
Q484471,['Kyung Hee University']
Q438911,"['Australian Film, Television and Radio School', 'Victorian College of the Arts', 'Swinburne University of Technology']"
Q502725,['Central Music School']
Q2107268,['Military Academy']
Q489199,['St Marylebone Grammar School']
Q1334420,['']
Q378027,['Moscow State Institute of International Relations']
Q606248,['I. L. Caragiale National University of Theatre and Film']
Q688930,['Hochschule für Musik Karlsruhe']
Q19428891,"[""St Paul's School"", 'University of Sussex', ""The Queen's College"", 'University of Oxford']"
Q1054887,['Waseda University']
Q933913,['University of Music and Performing Arts Vienna']
Q11443689,['Nagoya University']
Q162767,['University of Zurich']
Q639522,"['University of Sydney', 'Freie Universität Berlin']"
Q260011,"['Columbia University Graduate School of Journalism', 'University of Sydney', 'Bethlehem College', 'Columbia University']"
Q282653,['University of Ljubljana']
Q546121,['Pontifical Biblical Institute']
Q466241,['Antwerp Fashion Department']
Q467948,"['Sciences Po', 'London School of Economics and Political Science', 'Royal Norwegian Naval Academy']"
Q952826,['University of Buenos Aires']
Q1073993,['Rikkyo University']
Q495875,"['Korea University', 'University of Freiburg']"
Q259593,['Instituto Superior Técnico']
Q368087,['MSU Faculty of Physics']
Q1303674,['Meiji Gakuin University']
Q12025103,"['University of Chemistry and Technology', 'Leibniz University Hannover', 'Czechoslovak Academy of Sciences']"
Q465041,"['University of Calcutta', 'Shri Shikshayatan College', 'Jogamaya Devi College', 'Jogesh Chandra Chaudhuri Law College']"
Q1345191,"['University of Oxford', 'Université catholique de Louvain', 'Université Saint-Louis - Bruxelles']"
Q336253,['Universidad de la República']
Q738139,['Norwegian University of Science and Technology']
Q274743,['Thelma Yellin']
Q2581825,"['Columbia University', 'Princeton University', 'School of International and Public Affairs, Columbia University', 'West Orange High School']"
Q307701,['University of Guayaquil']
Q57640,"['University of Tartu', 'Estonian University of Life Sciences', 'York University']"
Q191060,['']
Q1196609,['Gakushuin University']
Q317431,['Charles University']
Q271270,['National Film School in Łódź']
Q1349134,"['National Film School in Łódź', 'University of Warsaw']"
Q943062,"['Waseda University', 'Kansai University']"
Q439417,['Nippon Sport Science University']
