wikidata_code_b,education
Q12530422,['Al-Farabi Kazakh National University']
Q40048878,['']
Q4219594,['Baku State University']
Q7172698,['Newington College']
Q18350460,"['University of London', 'Eduardo Mondlane University']"
Q12534547,['State Academic Institute of Fine Arts Surikov']
Q13028630,['Belarusian State Academy of Arts']
Q4408687,['Russian Institute of Theatre Arts']
Q6893139,['Beirut Arab University']
Q7410293,['University of the South Pacific']
Q28474559,['Binghamton University']
Q3026412,['École normale supérieure William Ponty']
Q20189009,['Belarusian State Medical University']
Q10378759,['Agostinho Neto University']
wikidata_code_B,education
Q12530422,['Al-Farabi Kazakh National University']
Q40048878,['']
Q4219594,['Baku State University']
Q7172698,['Newington College']
Q18350460,"['University of London', 'Eduardo Mondlane University']"
Q12534547,['State Academic Institute of Fine Arts Surikov']
Q13028630,['Belarusian State Academy of Arts']
Q4408687,['Russian Institute of Theatre Arts']
Q6893139,['Beirut Arab University']
Q7410293,['University of the South Pacific']
Q28474559,['Binghamton University']
Q3026412,['École normale supérieure William Ponty']
Q20189009,['Belarusian State Medical University']
Q10378759,['Agostinho Neto University']
Q18543599,['Belarusian State University']
Q57911625,"['Lisbon Theatre and Film School', 'New University of Lisbon', 'University of Lisbon']"
Q13173456,['Maxim Gorky Literature Institute']
Q7410772,"['University of Maryland, Baltimore County', 'University of Edinburgh', 'University of Warwick']"
Q30250561,['Wesleyan University']
Q4279829,['Azerbaijan State Agricultural Academy']
Q4506880,['Faculty of history of Belarusian State University']
Q18631146,"['University of Arizona', 'University of Florida']"
Q17523926,['University of Burgundy']
Q4219599,['Azerbaijan State Oil and Industrial University']
Q16355832,['Moscow State University']
Q4725232,['Abilene Christian University']
Q42320124,['Satbayev University']
Q4154523,"['Faculty of Law, Yerevan State University']"
Q27050952,"['University of Durham', 'Fourah Bay College']"
Q29359410,['Kyrgyz State Medical Academy']
Q19605286,['University of Khartoum']
Q25929703,['']
Q5401350,['University of Wisconsin–Madison']
Q50416188,"['University of London', 'University of Malawi']"
Q15733912,"[""King's College London""]"
Q23014994,"['Johns Hopkins University', 'Georgetown University', 'University of the West Indies']"
Q56600221,['University of Health Sciences – Cambodia']
Q7407487,['Fourah Bay College']
Q4132946,['National Polytechnic University of Armenia']
Q5482902,['University of Liberia']
Q3407404,['Ss. Cyril and Methodius University of Skopje']
Q4302709,['Moscow State University']
Q28971288,"['Trinity College, Bristol']"
Q7081115,['University of Yangon']
Q6180674,['University of Lancaster']
Q17043405,['']
Q28796691,['Taras Shevchenko National University of Kyiv']
Q7415489,['Azerbaijan State Oil and Industrial University']
Q8057295,"['Howard University', 'Royal University of Law and Economics']"
Q6057339,['University of Cambridge']
Q28655440,['University of Cape Town']
Q12540978,['Tomsk State University']
Q21211502,['Vanadzor State University']
Q16192658,['Fourah Bay College']
Q16521363,['Comenius University in Bratislava']
Q47456126,['University of Liberia']
Q44147386,['City Law School']
Q20642045,['National University of Singapore']
Q12839408,['Azerbaijan Medical University']
Q12248396,['American University of Beirut']
Q16151318,['University of Delhi']
Q2800759,['Utrecht University']
Q19596165,['Belarusian State Academy of Music']
Q33979628,"['Cuttington University', 'York University']"
Q6277953,"['Fordham University', 'Viterbo University']"
Q16201332,['Lelean Memorial School']
Q24263717,"['University College London', 'University of Malawi']"
Q13218095,['Belarusian State Academy of Arts']
Q6891060,['Elizabethtown College']
Q11522502,"['', 'Tokyo Korean Junior and Senior High School', 'Korea University']"
Q12293292,['Ss. Cyril and Methodius University of Skopje']
Q6296668,['']
Q6472967,['Belarusian State Academy of Arts']
Q25858376,['Makerere University']
Q4665662,['University of Karachi']
Q43157286,"['University of Liverpool', 'John F. Kennedy School of Government', 'University of Zambia']"
Q4326971,['Gerasimov Institute of Cinematography']
Q4724485,['University of the South Pacific']
Q21097038,['Maxim Tank Belarusian State Pedagogical University']
Q13166094,['']
Q28911703,['University of Papua New Guinea']
Q16335540,['Satbayev University']
Q11261360,['Kim Chaek University of Technology']
Q28923673,['Al-Azhar University']
Q23008736,['University of Pennsylvania School of Dental Medicine']
Q14917036,['Saint Petersburg State University']
Q14949204,['University of Leeds']
