wikidata_code_b,education
Q3182674,['Australian National University']
Q15491805,"['Vilnius University', 'University of Tartu']"
Q1026465,"['Makerere University', 'University of Zimbabwe']"
Q5163774,['Ion Creangă Pedagogical State University']
Q1397035,['Boston University']
Q586247,"['Saint Joseph University', 'University of Lyon (1896-1969)']"
Q4281251,['Baku State University']
Q21936473,['Adelphi University']
Q3446969,['University of Sarajevo']
Q7508012,['Ananda College']
Q3268148,"['University of Kinshasa', 'University Paul-Cézanne - Aix Marseille III', 'Aix-Marseille University']"
Q2383289,['Mahidol University']
Q4783113,['Yerevan State Institute of Fine Arts and Theater']
Q12247838,['American University of Beirut']
Q7154702,"['New York University Tisch School of the Arts', 'State University of New York', 'University of Costa Rica', 'Empire State College']"
Q17279780,['University of Lagos']
Q13378968,"['National Taichung First Senior High School', 'National Taiwan University', 'Purdue University']"
Q2911986,['University of Tirana']
Q12222190,['King Saud University']
Q2828958,['Tajik National University']
Q5628011,"['Cornell University', 'Cornell University College of Agriculture and Life Sciences']"
Q2739438,['American University of Beirut']
Q8351421,"['National Hsinchu Senior High School', 'National Taiwan Ocean University']"
Q527020,['University of Keele']
Q4755992,['Moldova State University']
Q4860681,['University of Dhaka']
Q1521452,"['University of Baghdad', 'University of Reading']"
Q715862,"['', 'University of Guayaquil']"
Q3528063,['Church Mission School']
Q4758444,"['Stanford University', 'Michigan State University']"
Q4164785,['Tbilisi State Academy of Arts']
Q981376,['Western Hemisphere Institute for Security Cooperation']
Q2066240,"['University of Paris (1896-1968)', 'George Washington University']"
Q7418245,['Royal Military Academy Sandhurst']
Q5766694,"['Universidad Católica ""Nuestra Señora de la Asunción""']"
Q17593925,"['University of Lagos', 'University of London']"
Q7807601,"['University of Leeds', 'Makerere University']"
Q8272200,"['National Pingtung University of Education', 'National Taiwan Normal University']"
Q5444658,"['University of Cuenca', 'Complutense University of Madrid']"
Q7804143,"['Sacred Heart College, Auckland']"
Q2866926,['Lebanese University']
Q3126419,['Institut des hautes études cinématographiques']
Q8347358,['National Taiwan University']
Q2090275,['Yerevan State Institute of Fine Arts and Theater']
Q1571781,['Ss. Cyril and Methodius University of Skopje']
Q893812,['University of Zagreb']
Q1147324,['Damascus University']
Q7636772,['University of Dhaka']
Q7129235,['San Francisco State University']
Q20740576,"['Higher University of San Andrés', 'Sorbonne', 'Sciences Po']"
Q10798976,['Hanoi University of Agriculture']
Q542939,['University of Bologna']
Q4739981,"['University of Dar es Salaam', ""Queen's University""]"
Q3084751,['Autonomous University of Santo Domingo']
Q18340364,"['University of Cape Coast', 'University of Birmingham', 'University of Durham']"
Q835316,"['University of Hong Kong', 'Harvard Business School', 'Harvard University']"
Q1367826,"['Manuel L. Quezon University', 'Philippine Military Academy']"
Q544606,"['Harvard University', 'Makerere University']"
Q1043135,['Stanford University']
Q2357885,['Uzbekistan State Institute of Arts and Culture']
Q4164449,"['University of Missouri', 'University of Baghdad']"
Q3393911,['University of Ilorin']
Q2380779,['Faculty of history of Belarusian State University']
Q4810540,"['University of London', 'University of London', 'University of Cambridge', 'University of Cambridge', 'University of Glasgow', 'University of Glasgow']"
Q694791,['University of Lyon']
Q21388457,"['Chiang Mai University', 'University of Paris (1896-1968)']"
Q14330482,['Istanbul University']
Q1086832,['University of Paris (1896-1968)']
Q7819303,['Pepperdine University']
Q4680192,['University of Paris (1896-1968)']
Q7407670,"[""St Peter's College""]"
Q864561,"['University of Wisconsin–Madison', 'University of North Bengal']"
Q974349,['Mohammed V University']
Q4667894,"['University at Buffalo', 'Governors State University']"
Q2820939,['Alexandria University']
Q5289322,['University of Dhaka']
Q2662541,['Arts et Métiers ParisTech']
Q2904984,"['Trinity College', 'Stanford University', 'Stanford Graduate School of Business']"
Q3918330,['Kabul Medical University']
Q6640394,['Chulalongkorn University']
Q20882463,['University of Durham']
Q3459101,"['Tbilisi State Conservatoire', 'Tbilisi State University']"
Q12206957,['Damascus University']
Q3229184,['Saint Joseph University']
Q16372327,['Tbilisi State Academy of Arts']
Q6179396,['Victoria University of Wellington']
Q11184263,['University of Belgrade']
Q3200891,['University of Yangon']
Q6554986,['University of Hong Kong']
Q16487294,['Pontificia Universidad Católica del Ecuador']
Q7326585,['Wimbledon College of Art']
Q14125712,"['Panthéon-Assas University', 'Mohammed V University', 'Panthéon-Assas University']"
Q4664665,"['University of Dar es Salaam', 'University of Missouri', 'Vanderbilt University']"
Q1988735,['Odesa National Academy of Food Technologies']
Q3048361,"['Brown University', 'Harvard Business School']"
Q6324008,"['National University of Singapore', 'Raffles Institution']"
Q13102905,['University Nancy II']
Q7966453,"['National University of Singapore', ""St John's College""]"
Q2660829,['Faculty of Dramatic Arts of Belgrade']
Q4338420,['Narxoz University']
Q27891778,['MSU Faculty of Biology']
Q401864,['University of Sarajevo']
Q514394,"['University of Nairobi', 'The Fletcher School of Law and Diplomacy']"
Q4149426,['Yerevan State University']
Q7943377,"['University of Belgrade', 'University of Ljubljana']"
Q13057296,['Rajshahi Loknath High School']
Q5285430,['London School of Hygiene & Tropical Medicine']
Q3363896,"['Ramkhamhaeng University', 'Thammasat University', 'MSU The Institute of Asian and African Studies']"
Q3510881,['University of Nigeria']
Q859638,['University of Wisconsin–Madison']
Q3108905,['University of Tirana']
Q3661283,['Cairo  University']
Q6765006,"['University of Malta', 'London School of Economics and Political Science', 'Humboldt University of Berlin']"
Q956041,['Moscow State Institute of International Relations']
Q15527939,['University of Zagreb']
Q27588603,"['', 'University of Nice Sophia-Antipolis', 'University of Nice Sophia-Antipolis', 'Tunis University']"
Q12199360,"['University of Economics, Prague']"
Q3531815,"['Trinity College, Kandy']"
Q1685844,['Pontifical Gregorian University']
Q14629716,['Columbia University']
Q12835738,['Azerbaijan State University of Culture and Arts']
Q4925793,"['University of London', 'George Washington University', 'Wilbraham & Monson Academy']"
Q4071114,['Azerbaijan State Oil and Industrial University']
Q362813,"['Faculdade de Letras da Universidade de Lisboa', 'University of Lisbon']"
Q307466,['University of Miami']
Q4666088,['Al-Azhar University']
Q1442149,['Pontifical Lateran University']
Q6082944,"['Ahmadu Bello University', 'University of London', 'John F. Kennedy School of Government', 'Georgetown University', 'Barewa College']"
Q11834994,['City College of New York']
Q7088857,['Obafemi Awolowo University']
Q2616861,['Univerzitet u Beogradu. Pravoslavni bogoslovski fakultet']
Q355960,"['University of Toulouse (1966-1969)', ""Institut des Hautes Études d'Outre-Mer (Paris)""]"
Q126443,['University of Hawaii']
Q16744926,['University of Calabar']
Q714212,"['University of California, Los Angeles', 'University of Southern California', 'University of Southern California School of International Relations']"
Q30056949,"['Chulalongkorn University', 'Triam Udom Suksa School', 'University of Northern Colorado']"
Q381810,['University of Otago']
Q2821286,['Télécom Paris']
Q793479,['University of Reading']
Q2839503,"[""École nationale vétérinaire d'Alfort""]"
Q317484,['Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation']
Q5569187,['University of Canterbury']
Q12472162,['Katholieke Universiteit Leuven']
Q1103939,['University of Ouagadougou']
Q2616671,['University of Montenegro Faculty of Economics']
Q8064319,"['Dhaka College', 'Dhaka Medical College and Hospital']"
Q27995537,['University of Haiti']
Q2748760,['Academy of Fine Arts']
Q7914562,['University of Paris (1896-1968)']
Q16398399,['Yerevan State Institute of Fine Arts and Theater']
Q513607,['University of Paris (1896-1968)']
Q6127617,['University of Leeds']
Q1763959,['Otahuhu College']
Q5981209,"[""Queen's University Belfast""]"
Q15903055,['National Cheng Kung University']
Q1595620,"['Barewa College', 'Nigerian Defence Academy']"
Q6738848,"['Harvard Law School', 'University of Nairobi']"
Q351655,['National and Kapodistrian University of Athens']
Q5616212,['Pontificia Universidad Católica Madre y Maestra']
Q520441,['Universidad de San Carlos de Guatemala']
Q1967799,['Al-Farabi Kazakh National University']
Q6864881,"['University of California, Los Angeles']"
Q13028960,"['Vaganova Academy of Russian Ballet', 'Saint Petersburg Conservatory']"
Q1740666,"['John F. Kennedy School of Government', ""St John's College""]"
Q16145930,['Nanyang University']
Q628120,"['Mohammed V University', 'Panthéon-Assas University']"
Q9059500,['Chung Yuan Christian University']
Q13230701,['Damascus University']
Q694614,['University of Urbino']
Q12189297,['Mohammed bin Ali Al Sunoussi Islamic University']
Q6830986,['University of London']
Q2783028,['Agricultural University of Tirana']
Q572694,['University of the West Indies']
Q1262021,"['Moscow State University', 'Belarusian State University', 'State University of Land Use Planning', 'National University of Mongolia']"
Q711217,['Saint Leo University']
Q16358754,['University of Latvia']
Q1379238,['Academy of Performing Arts']
Q324518,['University of Baghdad']
Q8068230,"['University of Glasgow', 'University of Dhaka']"
Q797549,['Ecole Spéciale Militaire de Saint-Cyr']
Q3141314,"['University of Ghana', 'University of Abomey-Calavi']"
Q2361379,['Middle East Technical University']
Q13181551,['Tribhuvan University']
Q954245,"['École Polytechnique', 'École des Ponts ParisTech']"
Q6172280,['University of Lomé']
Q5485795,"['Brown University', 'Yale University', 'University of Zambia', 'University of Malawi']"
Q4497425,"['', 'Shirak State University']"
Q6732717,"['University of Nebraska–Lincoln', 'University of Nebraska system']"
Q2281872,['Grenoble Alpes University']
Q4428738,['Gerasimov Institute of Cinematography']
Q3656160,['Alexandru Ioan Cuza University']
Q5438814,"['Yale University', 'American University of Beirut']"
Q1274276,['University of Wyoming']
Q1847011,['University of Ljubljana']
Q2067202,"['Saint Petersburg Conservatory', 'Estonian Academy of Music and Theatre']"
Q21592509,"['Imperial College London', 'University of San Diego']"
Q6892122,['Asian Institute of Technology']
Q2540439,['Yerevan State Komitas Conservatory']
Q6231834,['University of Natal']
Q55238732,['Al-Azhar University']
Q3572916,['Gerasimov Institute of Cinematography']
Q7461418,['University of Chittagong']
Q3188570,"['University of Kinshasa', 'Heidelberg University', 'Free University of Brussels', 'Free University of Brussels']"
Q3147303,"[""Rondebosch Boys' High School"", 'University of Cape Town']"
Q1901454,['University of Bern']
Q586134,"['University of Nairobi', 'Osgoode Hall Law School', 'York University', 'University of Dar es Salaam']"
Q1130449,"['University of Hamburg', 'University of Yangon']"
Q1779490,['Tribhuvan University']
Q5480672,['International Writing Program']
Q19970838,['Tribhuvan University']
Q8937271,['National Taiwan University']
Q4074471,['Yerevan State Medical University']
Q58297,['University of Edinburgh']
Q443910,['University of Benghazi']
Q741150,['Yerevan State University']
Q5760891,['University of Hull']
Q455223,['University of Dar es Salaam']
Q722327,['University of Ouagadougou']
Q6743972,['University of Hamburg']
Q5254239,"['Fordham University', 'En los muelles de la cama']"
Q332544,['University of Mosul']
Q3355314,['Ss. Cyril and Methodius University of Skopje']
Q3005784,"[""S. Thomas' College, Mount Lavinia""]"
Q72993,['Kim Il-sung Military University']
Q6318407,"['Harvard University', 'Fordham University']"
Q16735491,['Universidad de San Carlos de Guatemala']
Q3049922,['National School of Arts in Dakar']
Q7411880,['London School of Economics and Political Science']
Q8052372,"['Indiana University', 'Claremont Graduate University', 'National Taiwan University']"
Q5091266,"['Raimondi College', 'Jinan University']"
Q7636972,"['Wesleyan University', 'Cornell University']"
Q1444462,"['Universidad de San Carlos de Guatemala', 'Johns Hopkins University']"
Q3541522,['Ural State Law University']
Q4831073,"['Baku State University', 'Moscow State University']"
Q437620,['La Sapienza University of Rome']
Q3187801,['Autonomous University of Santo Domingo']
Q3529726,['Isipathana Vidyalaya']
Q3051937,"['City University of Hong Kong', 'Hong Kong Baptist University']"
Q1425123,['University of Ceylon']
Q7093791,"['National University of Singapore', 'London School of Economics and Political Science', 'Duke University']"
Q2613996,['Razi High School']
Q7499085,"['University of Dhaka', 'Maharaja Sayajirao University of Baroda']"
Q699188,['Republic of China Naval Academy']
Q5439222,"['Stanford University', 'Bangladesh University of Engineering and Technology']"
Q10708286,['National University of Asuncion']
Q4134675,"['Gerasimov Institute of Cinematography', 'Top Courses for Scriptwriters and Film Directors']"
Q17580348,['Makerere University']
Q20740457,"['Eduardo Mondlane University', 'University of East Anglia', 'University of Oxford', 'School of Oriental and African Studies']"
Q3308638,"['Princeton University', 'London School of Economics and Political Science']"
Q5551139,['Al-Farabi Kazakh National University']
Q6288102,['University of Hong Kong']
Q2846453,"['Paris Nanterre University', 'Panthéon-Assas University', 'Aristotle University of Thessaloniki']"
Q12525043,"['University of Indonesia', 'Australian National University', 'School of Oriental and African Studies']"
Q23055070,['Mohammed V University']
Q708995,['General Military Academy']
Q4803209,['University of Dhaka']
Q572660,"['Egyptian Military Academy', 'Somali National University']"
Q4842561,['University of Havana']
Q7930020,"['University of Hong Kong', 'University of Oxford']"
Q15848297,"['Ain Shams University', 'Kuwait University']"
Q2069161,"['University of Edinburgh', 'Victoria University of Wellington']"
Q1481742,['Pontifical University of Saint Thomas Aquinas']
Q608277,['Charles University']
Q7206377,['National Taiwan University']
Q4755781,['Moldova State University']
Q516088,['Cheikh Anta Diop University']
Q3056246,['University of Bordeaux']
Q7499520,['University of Belgrade Faculty of Philosophy']
Q123591,['University of Botswana']
Q2895631,"['Yale University', 'University of British Columbia', 'Cairo  University']"
Q5679345,"['State Musical Pedagogical College after Arno Babajanyan', 'Armenian State Pedagogical University']"
Q5263396,['Jesus College']
Q5444657,"[""St. Paul's College"", 'University of California, Berkeley', 'Hong Kong Baptist University']"
Q176266,['Tavrida National V.I. Vernadsky University']
Q1525923,['']
Q491631,['Union College']
Q15402185,['University of Zagreb']
Q12251276,"['University of London', 'University of Jordan']"
Q3572927,"['Mohammed V University', 'Boston University']"
Q25706646,"['University of San Carlos', 'University of California, Berkeley', 'University of Bridgeport']"
Q24091456,['École nationale supérieure des Beaux-Arts']
Q6438053,['Clemson University']
Q12497146,['University of Indonesia']
Q3121438,['University of Belgrade School of Medicine']
Q240657,['Ferdowsi University of Mashhad']
Q175815,['Odessa University']
Q982581,"['University of Hawaii', 'University of Hawaii at Manoa']"
Q16407578,['Pallas University of Applied Sciences']
Q5791932,['Autonomous University of Santo Domingo']
Q818088,['University of Lubumbashi']
